model,num_nodes,num_processes,num_gpus,num_prompts,prompt_len,model_parallelism,data_parallelism,quantization,machine,inference_time,request_id,timestamp
falcon-7b,1,1,2,1,96,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.286735773086548,cabdbcd2-ffb9-46e7-a3d6-85bc7d351b33,2023-09-28 04:11:43
falcon-7b,1,1,2,1,68,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.624129056930542,9f920cd2-c636-448a-bb74-13883b06864e,2023-09-28 04:11:49
falcon-7b,1,1,2,1,82,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.01071572303772,5771818f-ed4f-4ba9-bbdf-515ab2628c7d,2023-09-28 04:11:54
falcon-7b,1,1,2,1,75,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.3871757984161377,6abf4a90-9963-4773-9093-6c20aa3e03d2,2023-09-28 04:11:55
falcon-7b,1,1,2,1,96,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.2278013229370117,1efd1f05-b788-4dce-987d-1fc83165f07b,2023-09-28 04:11:57
falcon-7b,1,1,2,1,98,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.469871520996094,960e8688-85c0-4f67-8739-642c050d55aa,2023-09-28 04:12:03
falcon-7b,1,1,2,1,123,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.815209150314331,6ed11f04-eca3-432d-bc18-dcab5cdff1fe,2023-09-28 04:12:09
falcon-7b,1,1,2,1,87,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.484217643737793,46cba17d-5c10-455e-88fb-22745733cfaa,2023-09-28 04:12:16
falcon-7b,1,1,2,1,28,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.20894980430603,de2d78e6-8e57-40b0-83eb-d518438d1d6c,2023-09-28 04:12:22
falcon-7b,1,1,2,1,52,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,6.662727355957031,f8755317-e524-4ece-aa11-12aa68e63ae6,2023-09-28 04:12:29
falcon-7b,1,1,2,1,294,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.8687424659729004,9b29158e-0b7c-46a6-975c-c4e0e6dc2f84,2023-09-28 04:12:31
falcon-7b,1,1,2,1,55,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.3829169273376465,2418fc29-c6c1-4d21-bcc5-c9592db87eaf,2023-09-28 04:12:34
falcon-7b,1,1,2,1,111,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.927337884902954,980955c8-6fcc-474d-8247-af09f6e30e54,2023-09-28 04:12:38
falcon-7b,1,1,2,1,27,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.3521220684051514,b29cb32e-19b3-4f36-98a5-26fb85cecf26,2023-09-28 04:12:41
falcon-7b,1,1,2,1,141,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.523662805557251,0a879254-b605-4c74-8257-4283f91f134b,2023-09-28 04:12:42
falcon-7b,1,1,2,1,127,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.9536991119384766,49b7db0e-c2a7-4f39-a743-1194c0bfb30a,2023-09-28 04:12:46
